contrast,component,label,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
Full - Partial,Risky-choice bias,Full - Partial,-0.23292879821055784,0.14135489117262431,-1.6478297728382272,0.09938760763397222,-0.5099843849089014,0.044126788487785784,TRUE
Full - Partial,Value slope (V_risky),Full - Partial,-0.1929659069739459,0.11826550753225122,-1.6316330179475511,0.10275681828242421,-0.4247663017371583,0.038834487789266514,TRUE
Full - Partial,Relative uncertainty slope (RU_risky),Full - Partial,-8.275953329310221,2.6624665339758673,-3.108378349061057,0.0018811707309755413,-13.494387735902922,-3.057518922717521,FALSE
Full - Partial,Value / total uncertainty slope (VTU_risky),Full - Partial,0.043667522718847884,0.05121690784936364,0.8525997478660837,0.3938813024574778,-0.056717616665904844,0.14405266210360063,TRUE
TP - NoTP,Risky-choice bias,TP - NoTP,0.0287698090328123,0.019663749968585692,1.4630886315567588,0.1434431282052093,-0.00977114090561566,0.06731075897124025,TRUE
TP - NoTP,Value slope (V_risky),TP - NoTP,-0.13811736298558805,0.08117903490004416,-1.7013920300438667,0.08886939688838649,-0.2972282713896746,0.020993545418498516,TRUE
TP - NoTP,Relative uncertainty slope (RU_risky),TP - NoTP,-0.09265668835429221,0.07149346439890834,-1.2960162041847705,0.1949699022623916,-0.23278387857615257,0.04747050186756814,TRUE
TP - NoTP,Value / total uncertainty slope (VTU_risky),TP - NoTP,0.059609264222998816,0.041003166212149736,1.4537722261393529,0.14600946608895232,-0.020756941552814663,0.1399754699988123,TRUE
Accept - Reject,Risky-choice bias,Accept - Reject,-0.05023754501680462,0.019697704373796254,-2.550426387941701,0.010759124237712454,-0.08884504558944528,-0.011630044444163962,FALSE
Accept - Reject,Value slope (V_risky),Accept - Reject,0.040724510909750045,0.08223655313826057,0.4952117927569481,0.6204506271520428,-0.12045913324124069,0.20190815506074078,TRUE
Accept - Reject,Relative uncertainty slope (RU_risky),Accept - Reject,-0.010034961868221079,0.07207343880910558,-0.13923245559019012,0.8892664624231792,-0.15129890193406803,0.13122897819762586,TRUE
Accept - Reject,Value / total uncertainty slope (VTU_risky),Accept - Reject,0.04050781887947876,0.04114824939213467,0.9844360204354569,0.3249011746861141,-0.040142749929105194,0.12115838768806272,TRUE
